;name;COUNT(date);sellQuantity;real_speed;quantity;externalCode;priceType;price;ordering
382;Крысы замороженные бегунки 50-60г 10-12см (Артикул 1, 50-60 г, 10-12 см, корм, длительные сроки хранения., Легкая);166;627.0;3.7771084337349397;42.0;25cd2e40-540f-416a-9124-47db25a3b6ad;;;
383;Крысы замороженные взрослые 200-300г 20-25см (Артикул 1, 200-300 г, 20-25см, корм, легко хранить,длительные сроки хранения, Легкая);138;200.0;1.4492753623188406;0.0;100d6403-5530-4282-bf56-550b174472c0;;;
384;Крысы замороженные взрослые XL 300-500г (Артикул 1, 300-500 г);143;68.0;0.4755244755244755;6.0;j8L9EeOnhFEqys0e5qnop2;;;
385;Крысы замороженные новорожденные, 4-8г, 4-5см (Артикул 1, 4-8 г, 4-5см);180;663.0;3.683333333333333;102.0;66e021e3-8cf8-483f-98a7-e234fc4cb7a0;;;
386;Крысы замороженные опушенные 16-20г, 7-9см (Артикул 1, 16-20 г, 7-9 см, Удобно хранить,сохраняются все полезные свойства., Легкая);139;733.0;5.273381294964029;13.0;f073a710-0d6a-4edf-bd75-8e82e06cce17;;;
387;Крысы замороженные подростки (крупные) 150-199г, 15-17см (Артикул 1, 150-199 г, 15-17 см, корм, легко хранить,длительные сроки хранения, Легкая);154;238.0;1.5454545454545454;0.0;33a2cffc-cd33-4ad3-a0e6-ad003305d497;;;
388;Крысы замороженные подростки (мелкие) 100-149г, 12-15см (Артикул 1, 100-149г, 12-15см);155;297.0;1.9161290322580644;16.0;dY1KhFIQgQ3BbAng8Lzri1;;;
389;Крюк 03SNH для ловли змей телескопический, 210-580мм, Repti-Zoo (Артикул 1);180;3.0;0.016666666666666666;4.0;R3l1Iuq3jrBcL6VyVOOp03;;;
390;Крюк для змей телескопический Repti Zoo (Артикул 1);56;3.0;0.05357142857142857;0.0;fefbea86-a9ca-4c90-b3fe-7f77135ba690;;;
391;Крюк для змей телескопический Repti Zoo (Артикул 2);46;;;1.0;a61cfe56-70ff-43eb-aa55-bcea19b7766e;;;
392;Ксантик - натуральный источник каратиноидов (пробник) (Артикул 1);180;;;5.0;yB4Aqloqhpkq9FI8F5XiA0;;;
393;Кукурузный грунт для черепах (артикул 1, 9 л, 2300, 400, 160, 480);161;215.0;1.3354037267080745;22.0;W3nNOHDwiHuqRE7ezKCRc0;opt;1020.0;960.0
394;Кукурузный грунт для черепах (артикул 1, 9 л, 2300, 400, 160, 480);161;215.0;1.3354037267080745;22.0;W3nNOHDwiHuqRE7ezKCRc0;opt;1020.0;960.0
395;Кукурузный грунт для черепах (Артикул 2, 3 л, 1084, 250, 90, 350);163;295.0;1.8098159509202454;16.0;efa280dc-2116-41a7-b386-d3f6060ce7b7;opt;450.0;960.0
396;Кукурузный грунт для черепах (Артикул 2, 3 л, 1084, 250, 90, 350);163;295.0;1.8098159509202454;16.0;efa280dc-2116-41a7-b386-d3f6060ce7b7;opt;450.0;960.0
397;Кукурузный грунт Золотой кот (3 и 12 кг) (Артикул 1, 12 кг);180;;;325.0;q54-pKTYhJ4SHZzs3K6Pk0;;;
398;Лампа T8 30W белая люминесцентная, 30Вт, 893мм, Laguna (Артикул 1, 30 Вт);180;;;5.0;1slnFwD0jcyzOlqWbtH-S1;;;
399;Лампа греющая Repti Zoo Beam Spot Lamp (Friendly) (Артикул 1, 50 Вт);163;55.0;0.3374233128834356;12.0;757294d3-58fb-4c76-a54f-b34f57834373;;;
400;Лампа греющая Repti Zoo Beam Spot Lamp (Friendly) (Артикул 2, 60 Вт);142;34.0;0.23943661971830985;0.0;L3GZHok-inVquvobUZa7w3;;;
401;Лампа греющая Repti Zoo Beam Spot Lamp (Friendly) (Артикул 2, 60 Вт);142;34.0;0.23943661971830985;1.0;ddc8e5c9-3020-4d84-8d69-673905646cd4;;;
402;Лампа греющая Repti Zoo Beam Spot Lamp (Friendly) (Артикул 3, 75 Вт, 80, 80, 73, 110);142;30.0;0.2112676056338028;6.0;2a977eec-59f3-4719-97c4-e6459dcdd2b9;;;
403;Лампа греющая Repti Zoo Beam Spot Lamp (Friendly) (Артикул 6, 35 Вт);142;11.0;0.07746478873239436;3.0;PPxDsMUcgc7G7IJNGlZxb1;;;
